	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-500-3p	10	13	4	11	10	6	5	8	21	11
mmu-miR-1839-3p	10	9	8	11	12	12	8	13	11	18
mmu-miR-7b-5p	10	5.5	5.5	3.5	2.5	4.5	3	5	5	7.5
mmu-miR-467c-5p	9	12	11	3	4	10	7	6	26	13
mmu-miR-1249-3p	9	11	7	9	6	9	7	23	20	33
mmu-miR-511-3p	9	9	2	4	6	6	6	11	19	10
mmu-miR-450a-5p	9	12	7	11	4	6	9	10	23	16
mmu-miR-32-5p	9	13	17	15	17	20	16	14	28	25
mmu-miR-741-5p	9	8	6	11	5	5	7	8	16	10
mmu-miR-455-3p	9	4	4	16	7	12	11	13	19	26
mmu-miR-1306-5p	9	7	2	5	5	2	2	9	6	11
mmu-miR-136-3p	9	5	14	9	6	5	6	10	17	14
mmu-miR-28a-5p	9	8	6	7	7	8	7	14	19	15
mmu-miR-872-3p	9	18	9	11	9	15	18	12	23	19
mmu-miR-27b-5p	9	11	7	4	1	3	2	11	15	10
mmu-miR-9-3p	9	12	9	10	9	10	15	7	23	10
mmu-miR-494-3p	9	3	0	6	0	7	6	8	7	10
mmu-miR-466d-3p	8.54761904761905	14	15.1666666666667	7.5	11.8666666666667	11.7649572649573	11.3333333333333	5.07692307692308	23.8205128205128	16.2435897435897
mmu-miR-101c	8.5	11	11	10.5	7.5	16.5	10	9	14.5	12.5
mmu-mir-30c-2	8.33333333333333	4.66666666666667	0.333333333333333	6	4.33333333333333	6.33333333333333	2.5	0	3.16666666666667	11.5
mmu-miR-409-5p	8	4	5	4	2	7	8	10	17	7
mmu-miR-191-3p	8	7	2	12	5	8	10	12	20	24
mmu-miR-700-5p	8	3	3	4	9	6	1	1	6	4
mmu-miR-7a-1-3p	8	11	10	16	11	13	13	19	26	12
mmu-miR-463-3p	8	7	11	1	7	6	4	8	8	11
mmu-miR-183-3p	8	11	2	12	8	6	9	14	16	16
mmu-miR-202-5p	8	5	9	5	8	5	6	7	17	11
mmu-miR-5121	8	1	2	1	2	1	0	6	6	0
mmu-miR-335-3p	8	20	14	11	10	10	15	22	39	21
mmu-miR-330-3p	8	7	3	9	5	4	8	3	5	7
mmu-miR-671-3p	8	5	3	7	3	6	2	8	3	4
mmu-miR-181a-1-3p	8	6	7	1	1	5	4	7	8.5	7
mmu-miR-299a-3p|mmu-miR-299b-3p	7.5	1.5	3.5	6	2	6	5	12	9	5
mmu-miR-124-3p	7	5	8	8	5	4	7	6	9	11
mmu-miR-223-5p	7	13	5	11	7	11	9	18	14	12
mmu-miR-329-3p	7	5	2	7	5	2	4	9	10	8
mmu-mir-101b	7	1.5	1.5	0.5	2	6.5	0	2.5	1	5
mmu-miR-193b-3p	7	8	5	6	7	4	3	12	6	7
mmu-miR-339-3p	7	14	4	6	6	7	8	12	16	15
mmu-miR-137-3p	7	7	5	2	15	8	7	19	13	13
mmu-let-7f-2-3p	7	4	4	5	1	7	6	7	4.5	4.5
mmu-miR-18a-3p	7	0	1	2	2	0	3	7	10	7
mmu-miR-27a-5p	7	3	4	14	3	6	7	9	4	12
mmu-miR-15b-3p	7	16	5	13	5	8	10	21	33	26
mmu-miR-411-3p	7	7	11	14	4	7	7	5	12	18
mmu-miR-99b-3p	7	18	9	7	8	18	15	20	30	32
mmu-miR-669o-5p	7	4	3	10	8	4	1	14	16	18
mmu-mir-30c-1	6.33333333333333	14.1666666666667	6.83333333333333	6	6.33333333333333	6.33333333333333	3	0	3.66666666666667	11
mmu-miR-24-1-5p	6	10	4	7	4	8	11	7	14	5
mmu-miR-154-5p	6	1	4	4	4	2	3	4	10	9
mmu-miR-532-3p	6	10	2	2	4	4	10	10	12	6
mmu-miR-376c-3p	6	3	5	3	3	4	5	9	7	7
mmu-miR-496a-3p	6	3	3	1	0	6	3	3	9	5
mmu-miR-322-3p	6	9	8	13	8	4	9	7	16	13
mmu-miR-374c-5p	6	3.5	1.5	2.5	3.5	2.5	2	3	6	3.5
mmu-miR-370-3p	6	0	5	2	1	1	4	6	2	9
mmu-miR-206-3p	6	84	2	1	58	2	3	10	7	10
mmu-miR-17-3p	6	6	0	5	3	5	3	8	5	6
mmu-miR-1981-3p	6	5	7	3	6	4	7	10	6	6
mmu-miR-378a-5p	6	2	2	2	1	4	2	5	5	9
mmu-miR-152-5p	6	9	6	8	16	12	7	9	2	10
mmu-miR-466b-3p|mmu-miR-466c-3p|mmu-miR-466p-3p	5.83333333333333	5	5.66666666666667	5.5	6.16666666666667	3.5	7.66666666666667	9.5	8.33333333333333	8.16666666666667
