	MS28F1_sample2	MS28F1_sample3	MS28F1_sample4	MS28F1_sample5	MS28F1_sample6	MS28F1_sample7	MS28F1_sample8	MS28F1_sample9	MS28F1_sample11	MS28F1_sample14
mmu-miR-138-2-3p	1	1	0	0	1	0	1	0	3	2
mmu-miR-185-3p	1	3	1	4	1	1	1	6	0	2
mmu-miR-503-5p	1	2	0	0	3	0	1	5	1	4
mmu-miR-6940-3p	1	0	0	0	1	0	0	0	0	1
mmu-miR-3095-3p	1	2	3	0	0	0	0	2	1	2
mmu-miR-3089-3p	1	2	1	2	0	0	1	1	0	1
mmu-miR-652-5p	1	0	0	0	2	0	0	1	0	1
mmu-miR-487b-3p	1	2	0	2	8	1	1	0	4	2
mmu-miR-219c-5p	1	0	0	0	0	0	0	0	0	0
mmu-miR-883b-5p	1	1	0	0	3	0	0	0	4	3
mmu-miR-130b-3p	1	2	3	2	3	0	1	5	7	4
mmu-miR-96-3p	1	0	1	1	2	0	0	1	1	1
mmu-let-7i-3p	1	1	0	1	6	0	2	2	4	1
mmu-miR-376c-3p	1	0	3	6	6	2	2	7	17	11
mmu-miR-501-5p	1	0	0	0	0	0	0	1	1	3
mmu-miR-770-3p	1	0	1	0	1	0	0	3	0	1
mmu-miR-139-3p	1	1	1	1	1	1	1	3	13	4
mmu-mir-429	1	0.5	1.5	0.5	0.5	0	1	0	6.5	0
mmu-miR-673-5p	1	0	0	3	0	0	1	1	1	2
mmu-miR-145b	1	0	0	2	2	1	1	1	4	6
mmu-miR-3105-3p	1	0	0	0	1	0	0	0	0	0
mmu-miR-6994-3p	1	0	0	0	0	0	0	0	0	0
